afford|负担得起
specimen|标本，样本
spectacular|壮观的，惊人的
speculate|推测，投机
spelling|拼写，拼法
sphere|球体，范围
spider|蜘蛛
spill|溢出，洒落
spin|旋转， spinning
spiritual|精神的，心灵的
spit|吐痰，吐口水
spite|恶意，怨恨
split|分裂，分开
spoil|宠坏；变质
spokesman|发言人
sponsor|赞助者，主办者
spoon|勺子，匙
sportsman|运动员
spot|地点，斑点
spray|喷雾，喷洒
spur|刺激，激励
squeeze|挤压，榨取
stable|稳定的，牢固的
stack|堆，垛
stadium|体育场
staff|全体职员， staff
stain|污点，染色
stake|桩，赌注
stale|不新鲜的，陈腐的
standpoint|立场，观点
starve|挨饿，饿死
statement|声明，陈述
statesman|政治家
static|静态的，静止的
statistic|统计数值
statue|雕像，塑像
status|地位，状态
steady|稳定的，稳固的
steak|牛排，肉排
steamer|汽船，蒸锅
steep|陡峭的，险峻的
steer|驾驶，引导
stem|茎，干
stereotype|刻板印象
sticky|粘的，粘性的
stiff|僵硬的；艰难的
stimulate|刺激，激励
sting|刺，叮
stir|搅拌，搅动
stock|库存，股票
stocking|长筒袜
stoop|弯腰，俯身
storage|存储，仓库
stove|炉子，火炉
strain|拉紧； strain
strap|带子，皮带
strategy|策略，战略
straw|稻草，吸管
strawberry|草莓
stream|小溪，流
strengthen|加强，增强
stress|压力，强调
stretch|伸展，延伸
striking|显著的，惊人的
string|线，字符串
strip| strips；剥去
stripe|条纹，斑纹
stroke|一击；中风
structure|结构，构造
studio|工作室，画室
stuff|东西，物品
style|风格，样式
submerge|淹没，潜入水中
submit|提交，屈服
subsequent|随后的，后来的
substance|物质，实质
substantial|大量的，坚固的
substitute|代替者，代替品
subtract|减去，扣除
suburb|郊区，城郊
subway|地铁
succession|连续，继任
successive|连续的，接连的
suck|吸，吮吸
sufficient|足够的，充足的
suggestion|建议，提议
suicide|自杀
suitable|合适的，适宜的
suite|套房，套件
sum|总数，金额
summarize|总结，概述
summary|总结，摘要
summit|顶峰，峰会
sunlight|阳光，日光
sunrise|日出，黎明
sunset|日落，傍晚
super|超级的，极好的
superb|极好的，卓越的
superficial|表面的，肤浅的
superior|上级的；优越的
supermarket|超市，超级市场
supplement|增补，补充
suppose|假设，认为
supreme|最高的，至上的
surge|汹涌，激增
surgeon|外科医生
surgery|外科，手术
surplus|过剩，盈余
surrender|投降，放弃
surround|包围，环绕
surroundings|环境，周围事物
survey|调查，测量
survival|幸存，生存
suspect|怀疑，嫌疑犯
suspend|暂停，悬架
suspicion|怀疑，猜疑
sustain|维持，支撑
swallow|燕子；吞下
sway|摇摆，影响
swear|发誓，咒骂
sweat|汗水，出汗
sweater|毛衣，运动衫
swell|肿胀，膨胀
swift|迅速的，敏捷的
swing|摇摆，秋千
switch|开关，转换
sword|剑，刀
symbol|符号，象征
sympathetic|同情的，有同情心的
sympathy|同情，同情心
symptom|症状，征兆
synthetic|合成的，人造的
system|系统，体系
tackle|处理，对付
tag|标签，标记
talent|天赋，才能
tame|驯服的，驯养
tan|棕褐色，晒黑
tank|坦克；水槽
tap|水龙头；轻拍
target|目标，靶子
tax|税，税收
tease|戏弄，取笑
technical|技术的，工艺的
technician|技术员，技师
technique|技术，方法
tedious|冗长乏味的，沉闷的
teenager|青少年，十几岁的孩子
telescope|望远镜
temper|脾气，情绪
temple|寺庙，神殿
temporary|暂时的，临时的
tempt|引诱，诱惑
temptation|诱惑，引诱
tend|趋向，倾向
tendency|趋势，倾向
tender|温柔的；嫩的
tense|紧张的；时态
tension|紧张，张力
terminal|末端的，终点站
territory|领土，版图
terror|恐怖，恐惧
textile|纺织品
theme|主题，题目
theoretical|理论的，假设的
theory|理论，学说
therapy|治疗，疗法
thereby|因此，从而
thermometer|温度计，体温计
thirst|渴，口渴
thorn|刺，荆棘
thorough|彻底的，完全的
thoughtful|体贴的，深思的
threat|威胁，恐吓
threaten|威胁，恐吓
thrill|激动，兴奋
throat|喉咙，咽喉
thrust|推力；刺
thumb|拇指
thunder|雷，雷声
tide|潮汐，潮流
tidy|整洁的，整齐的
timber|木材，木料
tissue|组织，薄纸
title|标题，头衔
toast|烤面包；干杯
toe|脚趾，足尖
token|代币；象征
tolerate|容忍，忍受
tone|语气，音调
topic|话题，主题
torch|手电筒，火炬
torture|折磨，拷问
tough|艰难的；强硬的
tour|旅游，旅行
towel|毛巾，手巾
trace|痕迹，踪迹
tractor|拖拉机
tradition|传统，惯例
tragedy|悲剧，惨案
trail|小径，踪迹
transfer|转移，调动
transform|转换，变形
transformation|转换，变形
transistor|晶体管
transmission|传输，传播
transmit|传输，发射
transparent|透明的，明显的
transport|运输，运送
trap|陷阱，圈套
trash|垃圾，废物
tray|托盘，碟子
treatment|治疗，待遇
treaty|条约，协议
tremble|颤抖，发抖
tremendous|巨大的，惊人的
trend|趋势，倾向
trial|审判，试验
triangle|三角形，三角形物体
trim|修剪，整理
triumph|胜利，成功
troop|部队，一群
tropical|热带的
troublesome|麻烦的，讨厌的
trumpet|小号，喇叭
trunk|树干；行李箱
tube|管子，地铁（英）
tune|曲调， tune
tunnel|隧道，地道
turbine|涡轮机
tutor|导师，家庭教师
twist|扭曲，拧
typewriter|打字机
typical|典型的，有代表性的
typist|打字员
ultimate|最终的，极致的
umbrella|雨伞
uncover|揭开，揭露
undergo|经历，经受
underline|在...下面划线
underneath|在...下面，底部
understanding|理解，谅解
undertake|承担，着手做
undo|解开，取消
undoubtedly|无疑地，必定地
uneasy|不安的，担心的
unexpected|意外的，未料到的
unfair|不公平的
unfortunately|不幸地，遗憾地
union|联盟，工会
unique|独特的，唯一的
unity|团结，统一
universal|普遍的，通用的
universe|宇宙
unlike|不像，和...不同
unlikely|不太可能的
unload|卸货，卸载
unusual|不寻常的，独特的
upper|上面的，上部的
upright|垂直的，正直的
upset|心烦的；打翻
up-to-date|最新的，现代的
urban|城市的，都市的
urge|催促，强烈欲望
urgent|紧急的，急迫的
usage|使用，用法
utility|效用，公用事业
utilize|利用，使用
utmost|极度的，最大限度的
utter|完全的；说出
vacant|空的，空缺的
vacuum|真空，吸尘器
vague|模糊的，不明确的
vain|徒劳的，虚荣的
valid|有效的，合理的
van|厢式货车，面包车
vanish|消失，突然不见
vapor|蒸汽，水汽
variable|可变的，变量
variation|变化，变体
variety|多样性，种类
vary|变化，不同
vast|巨大的，广阔的
vehicle|车辆，交通工具
veil|面纱，遮盖
venture|冒险，风险项目
verb|动词
verify|核实，证明
version|版本，说法
vertical|垂直的，竖的
vessel|船，容器
veteran|老兵，老手
via|经由，通过
vibrate|振动，摇摆
vice|恶习，副的
victim|受害者
video|视频，录像
view|看法，景色
viewpoint|观点，看法
vigorous|精力充沛的，有力的
vinegar|醋
violate|违反，侵犯
violence|暴力
violent|暴力的，猛烈的
violet|紫罗兰，紫色的
violin|小提琴
virtual|虚拟的，实质上的
virtue|美德，优点
virus|病毒
visible|可见的
vision|视力，视野
visual|视觉的
vital|至关重要的
vitamin|维生素
vivid|生动的，鲜明的
vocabulary|词汇，词汇量
volcano|火山
volleyball|排球
volt|伏特
voltage|电压
volume|体积，音量
voluntary|自愿的，志愿的
volunteer|志愿者，自愿者
vote|投票，选举
wagon|四轮马车，货车
waist|腰部，腰
waken|唤醒，醒来
wander|漫步，闲逛
ward|病房， ward
warehouse|仓库，货栈
warfare|战争，冲突
warmth|温暖，热情
waterproof|防水的
wax|蜡，蜂蜡
weaken|削弱，变弱
wealthy|富有的
weapon|武器
weave|编织，组合
weed|杂草，除草
weekday|工作日
weekly|每周的
weep|哭泣，流泪
weld|焊接
welfare|福利，幸福
whale|鲸鱼
whatsoever|无论什么
whereas|然而，尽管
whichever|无论哪个
whip|鞭子，抽打
whisper|低语，耳语
whistle|口哨，汽笛
whoever|无论谁
wholly|完全地，全部地
wicked|邪恶的，淘气的
widen|加宽，变宽
widespread|分布广的，普遍的
widow|寡妇
width|宽度，广度
wisdom|智慧，明智
wit|才智，机智
withdraw|撤退，收回
withstand|经受，承受
witness|目击者，证人
wolf|狼
wool|羊毛
workman|工人，工匠
workshop|车间，研讨会
worldwide|全世界的
worm|蠕虫
worship|崇拜，敬奉
worthless|无价值的，无用的
worthwhile|值得的
worthy|值得的，有价值的
wrap|包裹，包起来
wreck|失事，残骸
wrist|手腕
writer|作家，作者
writing|写作，笔迹
X-ray|X光，X射线
yard|院子，码（长度单位）
yawn|打哈欠
yearly|每年的，一年一度的
yell|叫喊，大叫
yield|屈服，出产
youngster|年轻人，少年
zone|区域，地带
